------------------------------------------------------------
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		1루
키움        	0         	두산        	1         	맥키니		베이스 없음
키움        	0         	두산        	1         	맥키니		2루
키움        	0         	두산        	2         	김명신		1루
키움        	0         	두산        	2         	김명신		베이스 없음
키움        	0         	두산        	2         	김명신		2루
키움        	0         	두산        	2         	하영민		베이스 없음
키움        	0         	두산        	2         	하영민		1루
키움        	0         	두산        	2         	하영민		1루 3루
키움        	0         	두산        	4         	이종민		베이스 없음
키움        	0         	두산        	4         	이종민		1루 3루
키움        	0         	두산        	7         	김건희		1루 2루
키움        	0         	두산        	7         	김건희		1루
키움        	0         	두산        	7         	김성진		1루 3루
키움        	0         	두산        	10        	최승용		베이스 없음
키움        	0         	두산        	10        	최승용		1루
----------------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher        	base
----------------------------------------------------------------------
----------------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher        	base
----------------------------------------------------------------------
----------------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher        	base
----------------------------------------------------------------------
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		2루
키움        	0         	두산        	0         	맥키니		1루
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		2루 3루
키움        	0         	두산        	0         	맥키니		1루 2루
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		1루
----------------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher        	base
----------------------------------------------------------------------
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		2루
키움        	0         	두산        	0         	맥키니		1루
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		2루 3루
키움        	0         	두산        	0         	맥키니		1루 2루
키움        	0         	두산        	0         	맥키니		베이스 없음
키움        	0         	두산        	0         	맥키니		1루
키움        	0         	두산        	1         	맥키니		베이스 없음
키움        	0         	두산        	1         	맥키니		2루
키움        	0         	두산        	2         	김명신		1루
키움        	0         	두산        	2         	김명신		베이스 없음
키움        	0         	두산        	2         	김명신		2루
키움        	0         	두산        	2         	하영민		베이스 없음
키움        	0         	두산        	2         	하영민		1루
키움        	0         	두산        	2         	하영민		1루 3루
키움        	0         	두산        	4         	이종민		베이스 없음
키움        	0         	두산        	4         	이종민		1루 3루
키움        	0         	두산        	7         	김건희		1루 2루
키움        	0         	두산        	7         	김건희		1루
키움        	0         	두산        	7         	김성진		1루 3루
키움        	0         	두산        	10        	최승용		베이스 없음
키움        	0         	두산        	10        	최승용		1루
----------------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher        	base
----------------------------------------------------------------------
키움        	0         	두산        	0         	맥키니		2루
키움        	0         	두산        	0         	맥키니		1루 2루
키움        	0         	두산        	0         	맥키니		2루
키움        	0         	두산        	0         	맥키니		2루 3루
키움        	0         	두산        	0         	맥키니		1루 2루
키움        	0         	두산        	0         	맥키니		2루
